Station Name,Street Address,City,State,ZIP,Expected Date,Groups With Access Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date
Lomas Santa Fe Plaza,975 Lomas Santa Fe Drive,Solana Beach,CA,92075,,Public - Card key at all times,,2,,GPS,32.994029859902,-117.25317511164,2018-01-04,73909,2018-01-04 21:41:23 UTC,
Solana Beach Towne Centre,685 San Rodolfo Drive,Solana Beach,CA,92075,,Public - Card key at all times,,2,,GPS,32.994335061006,-117.25780306931,2018-01-04,73910,2018-01-04 21:41:23 UTC,
BizLink Technology,47211 Bayside Parkway,Fremont,CA,94538,,Public - Card key at all times,,4,,GPS,37.4737499,-121.9358921,2018-01-04,73911,2018-01-04 21:34:22 UTC,
Town of Bennington,205 South Street,Bennington,VT,05201,,Public - Card key at all times,,2,,GPS,42.8773634,-73.197735,2018-01-04,73912,2018-01-04 21:41:22 UTC,
LBA REALTY,550 S Hope St
KPMG 1; 3rd floor of the parking garage
KPMG 3; -
Los Angeles,CA,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,73913,2018-01-09 05:58:44 UTC,,,,
B E CHARGERS,81 Carrigan Drive, through the light, then a left turn towards Aiken/Jeffords/Davis Center.",Burlington,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.4757305,-73.1949455,2018-01-04,
HASSALO GARAGE,1061 NE 9th Ave
Portland,OR,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,73916,2018-01-09 05:59:31 UTC,,,,
NATIONAL GRID,112-124 South St,Glens Falls,NY,12801,,Public,,2,,GPS,43.3053314,-73.6494232,2018-01-04,73917,2018-01-04 21:31:00 UTC,
CPSE-SATX,4522 Fredericksburg Rd
WONDERLAND ST 6; By Fredricksburg Rd near Stein Mart in Wonderland Mall
Balcones Heights,TX,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,73920,2018-01-09 06:15:16 UTC,,,,
CPSE-SATX,3636 NW Loop 410, close to 410 Access Road
 close to 410 Access Road
 close to 410 Access Road",San Antonio,78201,,888-758-4389,24 hours daily,,,,ChargePoint Network,-98.553485,2018-01-04,73921,2018-01-09 05:29:52 UTC,,,
Vine Fuels - Salida,4530 Kiernan Ave,Salida,CA,95368,,Public - Card key at all times,,,2,GPS,37.7100028991699,-121.078468322754,2018-01-04,73922,2018-01-04 21:40:23 UTC,
Community First Credit Union,13910 Village Lake Cir,Jacksonville,FL,32258,,Public - Card key at all times,,,2,GPS,30.1411571502686,-81.5447158813477,2018-01-04,73923,2018-01-04 21:32:24 UTC,
Asheville Outlet Mall,800 Brevard Rd,Asheville,NC,28806,,Public - Card key at all times,,,4,GPS,35.5291328430176,-82.6034469604492,2018-01-04,73924,2018-01-04 21:46:00 UTC,
Walmart #S2098,3900 Morse Rd,Columbus,OH,43219,,Public - Card key at all times,,1,2,GPS,40.0597496032715,-82.9122161865234,2018-01-04,73926,2018-01-04 21:46:56 UTC,
Walmart #S5066,35901 Chester Rd,Avon,OH,44011,,Public - Card key at all times,,1,1,GPS,41.4665336608887,-82.0169372558594,2018-01-04,73927,2018-01-04 21:48:17 UTC,
FC Atlantic Commons Ph. I,8085 Tumblestone Ct.
Delray Beach,FL,,800-663-5633,E,,,,SemaCharge Network,http://www.semacharge.com/,2018-01-04,73935,2018-01-04 21:41:23 UTC,,,,
DC SOLAR,2667-4577 Speedway Blvd,Las Vegas,NV,89115,,Public,,2,,GPS,36.2771857,-115.0137474,2018-01-04,73937,2018-01-04 21:41:23 UTC,
1301 DOVE,1301 Dove St,Newport Beach,CA,92660,,Public,,2,,GPS,33.6618106,-117.8667231,2018-01-04,73939,2018-01-04 21:34:28 UTC,
ENV. SERV. INC.,7220 Financial Way,Jacksonville,FL,32256,,Public,,2,,GPS,30.2417398,-81.5944599,2018-01-04,73940,2018-01-04 21:34:22 UTC,
AMERICANAIRLINE,13998 Federal Aviation Administration Blvd,Fort Worth,TX,76155,,Public,,2,,GPS,32.8312417,-97.0645461,2018-01-04,73941,2018-01-04 21:41:23 UTC,
JTA,1003 Kings Avenue, Level 1, between spaces 1143 & 1144",Jacksonville,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.3128133,-81.6525816,2018-01-04,
AMERICANAIRLINE,13805 Federal Aviation Administration Blvd,Fort Worth,TX,76155,,Public,,2,,GPS,32.8331073,-97.0649774,2018-01-04,73943,2018-01-04 21:34:22 UTC,
CHICKFILA,1574 Lafayette Pkwy,LaGrange,GA,30241,,Public,,,2,GPS,33.0413141,-84.9748047,2018-01-04,73944,2018-01-04 21:46:10 UTC,
Town of Bennington,205 South St,Bennington,VT,05201,,Public - Card key at all times,,,2,GPS,42.8772850036621,-73.1984558105469,2018-01-04,73946,2018-01-04 21:45:58 UTC,
Whole Foods - Oakland - Corner Bay Place and Harrison St,230 Bay Pl,Oakland,CA,94612,,Public - Card key at all times,,,4,GPS,37.8133277893066,-122.260581970215,2018-01-04,73948,2018-01-04 21:46:01 UTC,
71086,900 N Lake Shore Dr,Chicago,IL,60611,,Public,,2,,GPS,41.899474,-87.619448,2018-01-04,73954,2018-01-04 21:31:04 UTC,
CSU FULLERTON,3 Banting,Irvine,CA,92618,,Public,,2,,GPS,33.6594492,-117.7604162,2018-01-04,73955,2018-01-04 21:32:07 UTC,
TURNER PROPERTI,Centennial Olympic Park Dr NW
 Upper Level Public Parking. For Use by Turner Employees Only.
CNN CENTER L1; CNN Deck. Lower Level Parking. For Use by Turner Employees Only.
 Upper Level Public Parking. For Use by Turner Employees Only.
 Upper Level Public Parking . Employee or Guest Use Only. Parking Fees Apply
CNN CENTER L2; Lower Level CNN Parking Deck. For Use by Turner Employees Only.
 Upper Level Public Parking. For Use by Turner Employees Only.
CNN CENTER L1; CNN Deck. Lower Level Parking. For Use by Turner Employees Only.
 Upper Level Public Parking. For Use by Turner Employees Only.
 Upper Level Public Parking . Employee or Guest Use Only. Parking Fees Apply
CNN CENTER L2; Lower Level CNN Parking Deck. For Use by Turner Employees Only.
 Upper Level Public Parking. For Use by Turner Employees Only.
CNN CENTER L1; CNN Deck. Lower Level Parking. For Use by Turner Employees Only.
 Upper Level Public Parking. For Use by Turner Employees Only.
 Upper Level Public Parking . Employee or Guest Use Only. Parking Fees Apply",Atlanta,30303,,888-758-4389,24 hours daily,,,,ChargePoint Network,-84.3953401,2018-01-04,73960,2018-01-04 21:41:23 UTC,,,
MELIA ORLANDO,225 Celebration Pl,Celebration,FL,34747,,Public,,2,,GPS,28.3316455,-81.5376284,2018-01-04,73961,2018-01-04 21:41:23 UTC,
BLDG3 5 (QR 2000259),20100 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.2940687,-83.2285183,2018-01-04,73963,2018-01-04 21:43:35 UTC,
BLDG3 4 (QR 2000255),20100 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.2940687,-83.2284183,2018-01-04,73964,2018-01-04 21:28:32 UTC,
BLDG5 4  (QR 2000257),20300 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.293152,-83.230569,2018-01-04,73965,2018-01-04 21:30:37 UTC,
RTD_Ctr 1 (QR 2000263),17000 Rotunda Drive,Dearborn,MI,48120,,Private,,1,,GPS,42.3010326996,-83.2026850724,2018-01-04,73966,2018-01-04 21:42:16 UTC,
BLDG3 7 (QR 2000250),20100 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.2940687,-83.2287183,2018-01-04,73967,2018-01-04 21:30:37 UTC,
BLDG5 5 (QR 2000295),20300 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.293152,-83.230469,2018-01-04,73968,2018-01-04 21:43:35 UTC,
WHQ Solar 10 (QR 2000354),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3175706724,-83.2101666578,2018-01-04,73969,2018-01-04 21:43:29 UTC,
BLDG1 3 (QR 2000278),20000 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.2947514439,-83.2251023892,2018-01-04,73970,2018-01-04 21:30:40 UTC,
GE WattStation - 1,1 Village Center Drive,Van Buren Charter Township,MI,48111,,Private,,1,,GPS,42.24166,-83.436294,2018-01-04,73971,2018-01-04 21:32:19 UTC,
BLDG5 1 (QR 2000279),20300 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.293152,-83.230469,2018-01-04,73972,2018-01-04 21:28:32 UTC,
FBP_II 1 (QR 2000325),17425 Federal Drive,Allen Park,MI,48101,,Private,,1,,GPS,42.2940414,-83.2016988,2018-01-04,73973,2018-01-04 21:42:16 UTC,
FCC/EVB 1 (QR : 2000333),"1201 Village Rd,,Dearborn,MI,E,,,,1,https://www.gewattstation.com,GPS,42.3011580815,-83.2310592381,2018-01-04,73974,
ITHQ-B 1 (QR 2000327),1303 Fairlane Circle,Allen Park,MI,48101,,Private,,1,,GPS,42.2948777,-83.191908,2018-01-04,73975,2018-01-04 21:42:16 UTC,
WHQ Solar 13 (QR 2000353),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3176906614,-83.2102296897,2018-01-04,73976,2018-01-04 21:32:39 UTC,
WHQ Solar 12 (QR 2000374),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3176341376,-83.2101720222,2018-01-04,73977,2018-01-04 21:38:31 UTC,
GE WattStation - 3,1 Village Center Drive,Van Buren Charter Township,MI,48111,,Private,,1,,GPS,42.24166,-83.436094,2018-01-04,73978,2018-01-04 21:37:53 UTC,
iTek 6 (QR 2000304),15555 Lundy Parkway,Dearborn,MI,48126,,Private,,1,,GPS,42.3300893787,-83.1991402465,2018-01-04,73979,2018-01-04 21:43:35 UTC,
ITHQA 1 (QR 2000317),1333 Fairlane Circle,Allen Park,MI,48101,,Private,,1,,GPS,42.2934120393,-83.191195319,2018-01-04,73981,2018-01-04 21:32:19 UTC,
BLDG5 7 (QR 2000328),20300 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.293152,-83.230469,2018-01-04,73982,2018-01-04 21:38:27 UTC,
WHQ Solar 1 (QR 2000356),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3173584598,-83.2102109142,2018-01-04,73983,2018-01-04 21:35:29 UTC,
BLDG3 3 (QR 2000280),20100 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.2940687,-83.2283183,2018-01-04,73984,2018-01-04 21:35:26 UTC,
BLDG5 2 (QR 2000275),20300 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.293152,-83.230519,2018-01-04,73985,2018-01-04 21:32:39 UTC,
WHQ Solar 14 (QR 2000355),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3176926446,-83.2101720222,2018-01-04,73986,2018-01-04 21:43:35 UTC,
WHQ Solar 8 (QR 2000364),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3174953072,-83.2101626345,2018-01-04,73987,2018-01-04 21:38:30 UTC,
WHQ Solar 3 (QR 2000379),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3174179587,-83.2102149375,2018-01-04,73988,2018-01-04 21:49:54 UTC,
BLDG1 4 (QR 2000281),20000 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.294758388,-83.2250682788,2018-01-04,73989,2018-01-04 21:38:27 UTC,
Talent_Ctr 2 (QR 2000316),555 Republic Drive,Allen Park,MI,48101,,Private,,1,,GPS,42.2972754,-83.1991362,2018-01-04,73990,2018-01-04 21:37:49 UTC,
iTek 2 (QR 2000320),15555 Lundy Parkway,Dearborn,MI,48126,,Private,,1,,GPS,42.330132011,-83.1991429287,2018-01-04,73991,2018-01-04 21:38:30 UTC,
ITHQ-B 2 (QR 2000322),1303 Fairlane Circle,Allen Park,MI,48101,,Private,,1,,GPS,42.2948777,-83.191808,2018-01-04,73992,2018-01-04 21:42:16 UTC,
FBP_II 2 (QR 2000326),17425 Federal Drive,Allen Park,MI,48101,,Private,,1,,GPS,42.2940414,-83.2018988,2018-01-04,73993,2018-01-04 21:37:49 UTC,
FCC/EVB 2 (QR : 2000332),"1201 Village Rd,,Dearborn,MI,E,,,,1,https://www.gewattstation.com,GPS,42.3011699843,-83.231096789,2018-01-04,73994,
MAP 1 (QR 200343),38303 Michigan Avenue,Wayne,MI,48184,,Private,,1,,GPS,42.2777609,-83.415281,2018-01-04,73995,2018-01-04 21:38:28 UTC,
VD 1 (QR 2000344),41111 Van Dyke Road,Sterling Heights,MI,48314,,Private,,1,,GPS,42.5964523084,-83.0324796101,2018-01-04,73996,2018-01-04 21:37:48 UTC,
WHQ Solar 5 (QR 2000359),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3174467164,-83.2102135964,2018-01-04,73997,2018-01-04 21:38:30 UTC,
RTD_Ctr 2 (QR 2000267),17000 Rotunda Drive,Dearborn,MI,48120,,Private,,1,,GPS,42.3009822,-83.2028,2018-01-04,73998,2018-01-04 21:34:42 UTC,
BLDG3 8 (QR 2000264),20100 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.2940687,-83.2288183,2018-01-04,73999,2018-01-04 21:38:31 UTC,
WHQ Solar 9 (QR 2000358),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3175696807,-83.210221643,2018-01-04,74000,2018-01-04 21:38:31 UTC,
WPC 3 (QR 2000367),5111 Auto Club Drive,Dearborn,MI,48126,,Private,,1,,GPS,42.3238052,-83.2212412,2018-01-04,74001,2018-01-04 21:28:30 UTC,
Dbn Engine 1 (QR 2000437),3001 Miller Road,Dearborn,MI,48121,,Private,,1,,GPS,42.3021062613,-83.1700447668,2018-01-04,74002,2018-01-04 21:35:26 UTC,
ITBIC 1 (QR 2000315),1655 Fairlane Circle,Allen Park,MI,48101,,Private,,1,,GPS,42.2920200691,-83.1963059553,2018-01-04,74003,2018-01-04 21:32:19 UTC,
ITBIC 4 (QR 2000319),1655 Fairlane Circle,Allen Park,MI,48101,,Private,,1,,GPS,42.291990357,-83.1962140019,2018-01-04,74004,2018-01-04 21:32:19 UTC,
FN2 1 (QR 2000435),6100 Mercury Drive,Dearborn,MI,48126,,Private,,1,,GPS,42.3351082348,-83.2097487821,2018-01-04,74005,2018-01-04 21:30:35 UTC,
ITBIC 2 (QR 2000318),1655 Fairlane Circle,Allen Park,MI,48101,,Private,,1,,GPS,42.2920033735,-83.1962785503,2018-01-04,74006,2018-01-04 21:31:11 UTC,
WPC 2 (QR 2000370),5111 Auto Club Drive,Dearborn,MI,48126,,Private,,1,,GPS,42.3236052,-83.2212412,2018-01-04,74007,2018-01-04 21:38:31 UTC,
BLDG3 1 (QR 2000258),20100 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.2940687,-83.2281183,2018-01-04,74008,2018-01-04 21:30:37 UTC,
WPC 1 (QR 2000360),5111 Auto Club Drive,Dearborn,MI,48126,,Private,,1,,GPS,42.3237052,-83.2212412,2018-01-04,74009,2018-01-04 21:38:31 UTC,
ITBIC 3 (QR 2000321),1655 Fairlane Circle,Allen Park,MI,48101,,Private,,1,,GPS,42.2919956184,-83.196245781,2018-01-04,74010,2018-01-04 21:34:42 UTC,
BLDG5 6 (QR 2000308),20300 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.293152,-83.230469,2018-01-04,74011,2018-01-04 21:30:37 UTC,
BLDG5 3 (QR 2000268),20300 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.293152,-83.230669,2018-01-04,74012,2018-01-04 21:38:31 UTC,
Dbn Engine 2 (QR 2000443),3001 Miller Road,Dearborn,MI,48121,,Private,,1,,GPS,42.3021380018,-83.1698301901,2018-01-04,74013,2018-01-04 21:35:26 UTC,
GE WattStation - 2,1 Village Center Drive,Van Buren Charter Township,MI,48111,,Private,,1,,GPS,42.2415,-83.436194,2018-01-04,74014,2018-01-04 21:37:53 UTC,
BLDG3 6 (QR 2000276),20100 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.2940687,-83.2286183,2018-01-04,74015,2018-01-04 21:43:38 UTC,
GE WattStation - 4,1 Village Center Drive,Van Buren Charter Township,MI,48111,,Private,,1,,GPS,42.24166,-83.436194,2018-01-04,74016,2018-01-04 21:37:53 UTC,
BLDG5 8 (QR 2000455) ,20300 Rotunda Drive,Dearborn,MI,48124,,Private,,1,,GPS,42.293152,-83.230469,2018-01-04,74017,2018-01-04 21:38:31 UTC,
Talent_Ctr 1 (QR 2000323),555 Republic Drive,Allen Park,MI,48101,,Private,,1,,GPS,42.2973754,-83.1991362,2018-01-04,74018,2018-01-04 21:37:49 UTC,
AEC 3 (QR 2000513,2400 Village Rd,Dearborn,MI,48121,,Private,,1,,GPS,42.2943146038,-83.2417076546,2018-01-04,74019,2018-01-04 21:32:44 UTC,
FCC/EVB 4 (QR : 2000330),"1201 Village Rd,,Dearborn,MI,E,,,,1,https://www.gewattstation.com,GPS,42.3011987496,-83.2311584798,2018-01-04,74020,
FCC/EVB 3 (QR : 2000331),"1201 Village Rd,,Dearborn,MI,E,,,,1,https://www.gewattstation.com,GPS,42.3011838709,-83.2311289755,2018-01-04,74021,
WHQ 2 (QR 2000526),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3149298643,-83.2109699794,2018-01-04,74022,2018-01-04 21:32:40 UTC,
Livonia_Transmission (QR 2000385),36200 Plymouth Road,Livonia,MI,48150,,Private,,1,,GPS,42.3699,-83.39988,2018-01-04,74023,2018-01-04 21:45:51 UTC,
AEC 4 (QR 2000522),2400 Village Rd,Dearborn,MI,48121,,Private,,1,,GPS,42.2943007156,-83.2416701037,2018-01-04,74024,2018-01-04 21:32:40 UTC,
AEC 1 (QR 2000516),2400 Village Rd,Dearborn,MI,48121,,Private,,1,,GPS,42.2943453562,-83.2417666632,2018-01-04,74025,2018-01-04 21:35:27 UTC,
AEC 2 (QR 2000510),2400 Village Rd,Dearborn,MI,48121,,Private,,1,,GPS,42.294331468,-83.2417398411,2018-01-04,74026,2018-01-04 21:30:38 UTC,
WHQ Solar 2 (QR 2000361),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3173882093,-83.2102122554,2018-01-04,74031,2018-01-04 21:38:31 UTC,
WHQ Solar 11 (QR 2000366),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3176291793,-83.2102256664,2018-01-04,74032,2018-01-04 21:38:31 UTC,
WHQ Solar 7 (QR 2000357),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3174923323,-83.2102203019,2018-01-04,74033,2018-01-04 21:35:26 UTC,
WHQ Solar 6 (QR 2000362),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3174348166,-83.21015727,2018-01-04,74034,2018-01-04 21:35:26 UTC,
WHQ Solar 4 (QR 2000363),One American Road,Dearborn,MI,48126,,Private,,1,,GPS,42.3174018418,-83.2101572701,2018-01-04,74035,2018-01-04 21:38:31 UTC,
ITHQA 2 (QR 2000314),1333 Fairlane Circle,Allen Park,MI,48101,,Private,,1,,GPS,42.2933952041,-83.1911631325,2018-01-04,74036,2018-01-04 21:32:19 UTC,
Montebello Filtration Plant,3901 Hillen Rd,Baltimore,MD,21218,,Public,,4,,200-8,39.336584,-76.588301,2017-10-03,74037,2018-02-06 21:00:03 UTC,2016-02-26
Resurrection Fellowship,6502 E Crossroads Blvd,Loveland,CO,80538,,Public,,2,,200-9,40.435878,-104.980263,2018-01-04,74038,2018-02-06 21:00:03 UTC,2015-08-01
Denver West Bldg 22,1726 Cole Boulevard, next to a fence enclosure.",Lakewood,CO,E,,,,1,http://www.semacharge.com/,GPS,39.738110612827,-105.1575954,2018-01-04,74039,
Denver West Bldg 53,13952 Denver West Parkway,Lakewood,CO,80401,,Public - Card key at all times,,1,,GPS,39.744610564086,-105.15527066746,2018-01-04,74040,2018-01-04 21:29:33 UTC,
Denver West Bldg 17,1626 Cole Boulevard,Lakewood,CO,80401,,Public - Card key at all times,,2,,GPS,39.744703073211,-105.15229735145,2018-01-04,74041,2018-01-04 21:50:38 UTC,
Denver West Bldg 3,1526 Cole Boulevard,Lakewood,CO,80401,,Public - Card key at all times,,1,,GPS,39.739864899973,-105.15274153359,2018-01-04,74042,2018-01-04 21:45:34 UTC,
Discovery West Apartments,"580 8th Ave.,The stations are located directly next to the astroturf open field.,Issaquah,WA,E,,,,3,http://www.semacharge.com/,GPS,47.5365604,-122.0205442,2018-01-04,74043,
WHOLE FOODS MKT,3425 N College Ave,Fayetteville,AR,72703,,Public,,2,,GPS,36.1132725,-94.1450403,2018-01-04,74044,2018-01-04 21:34:28 UTC,
BMW BALTIMORE,2700 BROENING HWY,Baltimore,MD,21222,,Public,,,1,GPS,39.2529015,-76.5334073,2018-01-04,74045,2018-01-04 21:43:34 UTC,
SCOTT VW,777 Taunton Ave,East Providence,RI,02914,,Public,,2,,GPS,41.8220175,-71.351987,2018-01-04,74046,2018-01-04 21:31:00 UTC,
Olney Village Center,18167 Village Center Dr,Olney,MD,20832,,Public - Card key at all times,,1,1,GPS,39.1525497436523,-77.0636138916016,2018-01-04,74047,2018-01-04 21:47:00 UTC,
Brookwood Marketplace,2625 Peachtree Pkwy,Suwanee,GA,30024,,Public - Card key at all times,,1,2,GPS,34.0969352722168,-84.174430847168,2018-01-04,74048,2018-01-04 21:46:56 UTC,
CPSE-SATX,501 W Cesar E Chavez Blvd, space 2042.  Garage fee for vehicles without a permit is $2 per hr.
 space 2043.  Garage fee for vehicles without a permit is $2 per hr.",San Antonio,78207,,888-758-4389,24 hours daily,,,,ChargePoint Network,-98.503126,2018-01-04,74051,2018-01-09 05:37:32 UTC,,,
CPSE-SATX,12777 Interstate 10 Frontage Rd
HEBDEZAVALA3; Located in HEB parking lot close to frontage road
HEBDEZAVALA1; Located at HEB in parking lot by frontage road
HEBDEZAVALA2; Located at HEB in parking lot by frontage road
HEBDEZAVALA4; Shopping center parking lot southeast of DeZavala &amp; IH-10W
HEBDEZAVALA3; Located in HEB parking lot close to frontage road
HEBDEZAVALA1; Located at HEB in parking lot by frontage road
HEBDEZAVALA2; Located at HEB in parking lot by frontage road
HEBDEZAVALA4; Shopping center parking lot southeast of DeZavala &amp; IH-10W
HEBDEZAVALA3; Located in HEB parking lot close to frontage road
HEBDEZAVALA1; Located at HEB in parking lot by frontage road
San Antonio,TX,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,74052,2018-01-04 21:34:26 UTC,,,,
CPSE-SATX,4821 Broadway St
CENTRAL MKT ST1; Northeast corner of Central Market parking lot along Broadway
CENTRAL MKT ST2; Northeast corner of Central Market parking lot along Broadway
Alamo Heights,TX,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,74053,2018-01-09 06:31:10 UTC,,,,
CPSE-SATX,Ximenes Ave Garage Ransom Rd, for all vehicles without a permit is $2 per hr.
 for all vehicles without a permit is $2 per hr.
 for all vehicles without a permit is $2 per hr. 
 for all vehicles without a permit is $2 per hr.
 for all vehicles without a permit is $2 per hr.
 for all vehicles without a permit is $2 per hr.
 for all vehicles without a permit is $2 per hr. 
 for all vehicles without a permit is $2 per hr.
 for all vehicles without a permit is $2 per hr.
 for all vehicles without a permit is $2 per hr.
 for all vehicles without a permit is $2 per hr. 
 for all vehicles without a permit is $2 per hr.",San Antonio,78249,,888-758-4389,24 hours daily,,,,ChargePoint Network,-98.6191496,2018-01-04,74054,2018-01-04 21:41:23 UTC,,,
Arris,1331 4th Street SE,Washington,DC,20003,,Private,,6,,GPS,38.874742,-77.000797,2018-01-04,74056,2018-01-04 21:37:29 UTC,
Encore Office,5005 LBJ Fwy,Dallas,TX,75244,,Public,,2,,GPS,32.928058,-96.82225,2018-01-04,74058,2018-01-04 21:45:35 UTC,
The Marine Mammal Center,2000 Bunker Road,Sausalito,CA,94965,,Public,,3,,GPS,37.8352,-122.532,2018-01-04,74059,2018-01-04 21:28:05 UTC,
Seola Gardens,11195 5th Ave SW,Seattle,WA,98146,,Public,,1,,GPS,47.502354,-122.34112,2018-01-04,74061,2018-01-04 21:32:09 UTC,
Bookmans Mesa,1056 S Country Club Drive,Mesa,AZ,85210,,Public,,1,,GPS,33.395901,-111.8415,2018-01-04,74062,2018-01-04 21:41:28 UTC,
Trek - Auburn Apartments,2 East Main Street,Auburn,WA,98001,,Public,,2,,GPS,47.307249,-122.229499,2018-01-04,74063,2018-01-04 21:51:02 UTC,
Integra Hills Preserve,9100 Integra Preserve Court,Ooltewah,TN,37363,,Public,,2,,GPS,35.068616,-85.074163,2018-01-04,74064,2018-01-04 21:41:28 UTC,
IBEW-NECA Technical Institute,6201 West 115th Street,Alsip,IL,60803,,Public,,1,,GPS,41.682041,-87.77359,2018-01-04,74067,2018-01-04 21:41:29 UTC,
Mcalvain Construction,1304 South Canyon RD,Ellensburg,WA,98926,,Public,,2,,GPS,46.980381,-120.544372,2018-01-04,74068,2018-01-04 21:34:23 UTC,
SBCC,420 Stevens Avenue,Solana Beach,CA,92075,,Public - Card key at all times,,4,,GPS,32.9915409,-117.2611211,2018-01-04,74069,2018-01-04 21:32:11 UTC,
LAKESHORE 1,5777 Central Ave,Boulder,CO,80301,,Public,,2,,GPS,40.0265783,-105.2189438,2018-01-04,74071,2018-01-04 21:41:29 UTC,
1410 GARAGE EV,1400 Fashion Island Blvd
San Mateo,CA,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,74072,2018-01-09 05:33:57 UTC,,,,
1340 MUNRAS,1340 Munras Ave,Monterey,CA,93940,,Public,,,1,GPS,36.5852419,-121.9011486,2018-01-04,74074,2018-01-04 21:45:35 UTC,
METRO NASHVILLE,1630 Harding Pl,Nashville,TN,37215,,Public,,1,,GPS,36.091731,-86.826441,2018-01-04,74075,2018-01-04 21:28:32 UTC,
ROYAL FARMS,115 N Bohemia Ave., has both CHAdeMO and COMBO cords",Cecilton,MD,E,,,,,http://www.chargepoint.com/,GPS,39.4045363,-75.8684369,2018-01-04,74076,
CV RANCH,1 Old Ranch Rd
Carmel-by-the-Sea,CA,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,74077,2018-01-09 05:52:28 UTC,,,,
The Chatanooga Choo Choo,1400 Market St,Chattanooga,TN,37402,,Public - Card key at all times,,,2,GPS,35.0458183288574,-85.3094253540039,2018-01-04,74078,2018-01-04 21:40:23 UTC,
64166 PCE,"64 Perimeter Center East,"Max Charge time is 3 Hours.

8:00 AM 8:00 PM--$1.50
Atlanta,GA,,800-663-5633,E,,,,SemaCharge Network,http://www.semacharge.com/,2018-01-04,74083,2018-01-04 21:27:42 UTC,,,,
CPW GARAGE,10250 Santa Monica Blvd
#2; Entrance to the garage is at the intersection of Century Park West and Constellation Blvd. Turn right after entering the garage. The Chargers are located on level A.
Los Angeles,CA,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,74085,2018-01-09 05:46:43 UTC,,,,
LIBERTY PARK,Liberty Dr
EV 1
EV 2
EV 1
EV 2
Verona,WI,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,74087,2018-01-04 21:32:13 UTC,,,,
CPSE-SATX,302 W Rector
NORTHCLINICSTA1; Located at North Clinic  in the parking lot East 
NORTHCLINICSTA4; Located at North Clinic in the East side of parking lot
San Antonio,TX,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,74088,2018-01-09 05:37:36 UTC,,,,
CPSE-SATX,11505 W Loop 1604 N
SILVERADOSTAT2; South corner of parking lot by 1604 frontage road near Discount Tire.  Non Ev's subject to towing.
